Title,Author,Rating,Rating Count,Genres
Rule of Wolves,Leigh Bardugo,4.37,131320,"['Fantasy', 'Young Adult', 'Fiction', 'Romance', 'Young Adult Fantasy', 'LGBT', 'High Fantasy']"
Firekeeper's Daughter,Angeline Boulley,4.35,128620,"['Young Adult', 'Mystery', 'Fiction', 'Thriller', 'Audiobook', 'Contemporary', 'Mystery Thriller']"
Chain of Iron,Cassandra Clare,4.45,67933,"['Fantasy', 'Fiction', 'LGBT', 'Young Adult', 'Romance', 'Vampires', 'Supernatural']"
Later,Stephen King,3.99,115763,"['Horror', 'Fiction', 'Thriller', 'Mystery', 'Audiobook', 'Crime', 'Paranormal']"
"Act Your Age, Eve Brown",Talia Hibbert,4.13,79163,"['Romance', 'Contemporary', 'Fiction', 'Contemporary Romance', 'Adult', 'Audiobook', 'Chick Lit']"
We Begin at the End,Chris Whitaker,4.16,91468,"['Fiction', 'Mystery', 'Thriller', 'Mystery Thriller', 'Crime', 'Audiobook', 'Contemporary']"
Firekeeper's Daughter,Angeline Boulley,4.35,128620,"['Young Adult', 'Mystery', 'Fiction', 'Thriller', 'Audiobook', 'Contemporary', 'Mystery Thriller']"
Every Last Fear,Alex Finlay,3.94,39540,"['Thriller', 'Mystery', 'Mystery Thriller', 'Fiction', 'Audiobook', 'Suspense', 'Crime']"
Twisted Love,Ana Huang,3.75,519858,"['Romance', 'Contemporary', 'Contemporary Romance', 'New Adult', 'Fiction', 'Adult', 'Dark']"
The Crown of Gilded Bones,Jennifer L. Armentrout,4.21,233168,"['Fantasy', 'Romance', 'Fantasy Romance', 'New Adult', 'Vampires', 'Fiction', 'Paranormal']"
Dial A for Aunties,Jesse Q. Sutanto,3.73,80164,"['Romance', 'Fiction', 'Contemporary', 'Mystery', 'Audiobook', 'Adult', 'Humor']"
House of Hollow,Krystal Sutherland,4.05,63853,"['Fantasy', 'Horror', 'Young Adult', 'Mystery', 'Thriller', 'Fiction', 'Paranormal']"
The Dictionary of Lost Words,Pip Williams,4.05,114415,"['Historical Fiction', 'Fiction', 'Historical', 'Books About Books', 'Audiobook', 'Feminism', 'Book Club']"
When the Stars Go Dark,Paula McLain,3.86,52307,"['Mystery', 'Fiction', 'Thriller', 'Mystery Thriller', 'Audiobook', 'Historical Fiction', 'Suspense']"
The Venice Sketchbook,Rhys Bowen,4.24,72042,"['Historical Fiction', 'Fiction', 'Romance', 'Italy', 'World War II', 'Historical', 'Mystery']"
Broken,Jenny  Lawson,4.04,38841,"['Nonfiction', 'Humor', 'Memoir', 'Audiobook', 'Mental Health', 'Biography', 'Essays']"
The Road Trip,Beth O'Leary,3.59,84186,"['Romance', 'Contemporary', 'Fiction', 'Audiobook', 'Chick Lit', 'Contemporary Romance', 'Adult']"
People We Meet on Vacation,Emily Henry,3.91,957233,"['Romance', 'Fiction', 'Contemporary', 'Contemporary Romance', 'Adult', 'Audiobook', 'Chick Lit']"
The Last Thing He Told Me,Laura Dave,3.85,819270,"['Mystery', 'Fiction', 'Thriller', 'Audiobook', 'Mystery Thriller', 'Suspense', 'Contemporary']"
Project Hail Mary,Andy Weir,4.52,463672,"['Science Fiction', 'Fiction', 'Audiobook', 'Space', 'Fantasy', 'Adult', 'Thriller']"
Local Woman Missing,Mary Kubica,4.15,303957,"['Thriller', 'Mystery', 'Mystery Thriller', 'Fiction', 'Audiobook', 'Suspense', 'Adult']"
